,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01719929 -0.02788182  0.00030904],[ 0.01638142 -0.02655597  0.00029435],[ 0.00635246 -0.01305836 -0.00023804],[ 0.57330954 -0.92939407  0.01030147],10.0,0.01,0.0044027197406453274,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.03871135 -0.021561    0.        ],[ 3.76495043e-02 -2.17985194e-02  1.39969996e-05],[ 0.01902938 -0.02345005 -0.00123276],[ 0.7170688  0.2106942 -0.8596104],10.0,0.01,0.0044027197406453274,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01167828  0.        ],[ 4.94127030e-02 -1.21595222e-02  6.65592433e-07],[ 0.03143549 -0.02042512 -0.00206882],[ 0.6609912  0.3294239 -0.9074811],10.0,0.01,0.0044027197406453274,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.00338281  0.        ],[ 4.99720726e-02 -3.80016239e-03  3.16505891e-08],[ 0.03912762 -0.01058354 -0.00162678],[ 0.67170024  0.27651572 -0.8776325 ],10.0,0.01,0.0044027197406453274,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00610316 0.        ],[4.99986720e-02 5.63223649e-03 1.50506460e-09],[ 0.04297939 -0.00027354 -0.00057557],[ 0.6731808   0.31619906 -0.8981404 ],10.0,0.01,0.0044027197406453274,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01466601 0.        ],[4.99999368e-02 1.42364276e-02 7.15692228e-11],[ 0.04443037  0.00877212 -0.00022249],[ 0.6725507   0.28542805 -0.88269866],10.0,0.01,0.0044027197406453274,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.02396851 0.        ],[4.99999970e-02 2.35057298e-02 3.40294459e-12],[ 0.04442202  0.01731326 -0.00034088],[ 0.67355347  0.31008363 -0.8951154 ],10.0,0.01,0.0044027197406453274,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03269246 0.        ],[4.99999999e-02 3.22556047e-02 1.61454183e-13],[ 0.04375844  0.02569839 -0.00059036],[ 0.6726079   0.29079807 -0.8854022 ],10.0,0.01,0.0044027197406453274,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04188805 0.        ],[5.00000000e-02 4.14300020e-02 7.35522754e-15],[ 0.04302894  0.03419769 -0.00081974],[ 0.67350054  0.30651975 -0.8933294 ],10.0,0.01,0.0044027197406453274,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.95924751e-02 1.38777878e-16],[ 0.04250877  0.04238748 -0.00097707],[ 0.67270994  0.29390943 -0.8869791 ],10.0,0.01,0.0044027197406453274,False
